geo_id,horizon,model,n_obs,MAE,RMSE
BAR,1,persistence,194,61.52061855670103,126.10576889442294
CHA,1,persistence,194,68.8917525773196,133.07712282190616
DHA_DIV,1,persistence,194,244.05154639175257,490.5850179059838
DHA_METRO,1,persistence,194,177.16494845360825,363.64302196340907
KHU,1,persistence,194,50.29896907216495,108.54824572274089
MYM,1,persistence,194,15.309278350515465,32.45520306800694
RAJ,1,persistence,194,31.88659793814433,68.27098823842779
RAN,1,persistence,194,10.206185567010309,24.913665359586986
SYL,1,persistence,194,3.2061855670103094,7.6448217094365365
BAR,2,persistence,193,108.14507772020725,217.91358747498427
CHA,2,persistence,193,118.93264248704664,230.9534641235623
DHA_DIV,2,persistence,193,452.80829015544043,882.3284315604345
DHA_METRO,2,persistence,193,322.95854922279796,636.6059900193349
KHU,2,persistence,193,84.13471502590673,184.8711356257779
MYM,2,persistence,193,24.95336787564767,55.30143492408865
RAJ,2,persistence,193,51.56476683937824,113.4035391612648
RAN,2,persistence,193,16.196891191709845,39.851667975312
SYL,2,persistence,193,4.77720207253886,12.769782986133844
BAR,3,persistence,192,152.94270833333334,296.39276623257865
CHA,3,persistence,192,168.40104166666666,321.3799753277523
DHA_DIV,3,persistence,192,652.3541666666666,1226.7755457227427
DHA_METRO,3,persistence,192,464.484375,881.3861626485484
KHU,3,persistence,192,121.33333333333333,260.8803405458781
MYM,3,persistence,192,34.203125,73.62556592878137
RAJ,3,persistence,192,73.40625,156.32165023864522
RAN,3,persistence,192,21.5,53.29018436823051
SYL,3,persistence,192,6.614583333333333,16.96135312998347
BAR,4,persistence,191,190.89528795811518,364.58307968078935
CHA,4,persistence,191,213.7591623036649,403.49435725308297
DHA_DIV,4,persistence,191,831.261780104712,1525.0294083508943
DHA_METRO,4,persistence,191,587.8324607329843,1090.9638420736233
KHU,4,persistence,191,159.4764397905759,333.209727518704
MYM,4,persistence,191,42.26701570680628,87.98003700269035
RAJ,4,persistence,191,93.29842931937172,193.90489923579543
RAN,4,persistence,191,26.345549738219894,64.00556258548797
SYL,4,persistence,191,8.37696335078534,20.52249436275011
BAR,5,persistence,190,224.42631578947368,421.87791324530195
CHA,5,persistence,190,258.8578947368421,474.2626465311567
DHA_DIV,5,persistence,190,980.0684210526316,1780.8367031139871
DHA_METRO,5,persistence,190,707.0947368421052,1266.1140424231353
KHU,5,persistence,190,194.10526315789474,400.7335247951397
MYM,5,persistence,190,48.921052631578945,99.68569025745502
RAJ,5,persistence,190,113.06315789473685,228.2848866519293
RAN,5,persistence,190,31.55263157894737,73.44819155095149
SYL,5,persistence,190,9.994736842105263,23.496360300446984
BAR,6,persistence,189,261.78306878306876,474.27024979569387
CHA,6,persistence,189,302.3174603174603,538.3917556386637
DHA_DIV,6,persistence,189,1128.005291005291,2016.2368911063504
DHA_METRO,6,persistence,189,829.6878306878307,1431.8124027308036
KHU,6,persistence,189,232.38095238095238,462.98849792014187
MYM,6,persistence,189,57.264550264550266,111.27436419492194
RAJ,6,persistence,189,133.44973544973544,260.44792510811385
RAN,6,persistence,189,36.84656084656085,81.34341597665617
SYL,6,persistence,189,11.264550264550264,25.859715151657564
BAR,7,persistence,188,294.77659574468083,526.7750943239439
CHA,7,persistence,188,342.3776595744681,600.280107488836
DHA_DIV,7,persistence,188,1299.840425531915,2246.099268850759
DHA_METRO,7,persistence,188,958.9627659574468,1596.5401904703915
KHU,7,persistence,188,267.1595744680851,521.3273464222451
MYM,7,persistence,188,66.12234042553192,123.51636552777728
RAJ,7,persistence,188,150.5744680851064,289.9460147844107
RAN,7,persistence,188,41.744680851063826,88.94463972702465
SYL,7,persistence,188,12.595744680851064,27.825826056824997
BAR,8,persistence,187,327.2139037433155,580.6962674929243
CHA,8,persistence,187,381.3582887700535,662.9644331125106
DHA_DIV,8,persistence,187,1486.2032085561498,2482.554385723476
DHA_METRO,8,persistence,187,1085.6631016042782,1761.7180163079327
KHU,8,persistence,187,300.67379679144386,575.6031758449399
MYM,8,persistence,187,74.75401069518716,135.9330009551143
RAJ,8,persistence,187,170.22459893048128,317.93747072988685
RAN,8,persistence,187,46.411764705882355,96.18178532797675
SYL,8,persistence,187,13.561497326203208,29.513524498816572
BAR,9,persistence,186,353.9623655913978,632.3416500323156
CHA,9,persistence,186,425.46774193548384,724.8140250903965
DHA_DIV,9,persistence,186,1658.6505376344087,2711.140789726795
DHA_METRO,9,persistence,186,1198.9408602150538,1917.2764747540093
KHU,9,persistence,186,331.7258064516129,624.6625024246964
MYM,9,persistence,186,83.2258064516129,146.94359242525243
RAJ,9,persistence,186,186.71505376344086,344.5876529094367
RAN,9,persistence,186,51.32258064516129,103.17361920047551
SYL,9,persistence,186,14.827956989247312,31.08815076969954
BAR,10,persistence,185,384.9351351351351,682.6051567341108
CHA,10,persistence,185,468.2648648648649,782.7509044251424
DHA_DIV,10,persistence,185,1821.9567567567567,2922.4050794933696
DHA_METRO,10,persistence,185,1309.6432432432432,2057.190154003691
KHU,10,persistence,185,358.71351351351353,669.650291953579
MYM,10,persistence,185,90.36756756756756,156.67128611169275
RAJ,10,persistence,185,201.43783783783783,367.6595222815864
RAN,10,persistence,185,55.35675675675676,109.28813886830216
SYL,10,persistence,185,15.805405405405406,32.405538398843476
BAR,11,persistence,184,412.5597826086956,727.3238282133733
CHA,11,persistence,184,502.76630434782606,836.2243529569447
DHA_DIV,11,persistence,184,1964.5217391304348,3114.5832961562696
DHA_METRO,11,persistence,184,1411.2282608695652,2180.0317757955413
KHU,11,persistence,184,383.91847826086956,709.6852295208066
