model,horizon,MAE_macro,RMSE_macro,n_geos
persistence,1,73.61512027491409,150.58265063154678,9
persistence,2,131.60794473229709,263.777670427877,9
persistence,3,188.3599537037037,365.22372712701565,9
persistence,4,239.27923211169283,453.7437120070909,9
persistence,5,285.34269005847955,529.8599954299448,9
persistence,6,332.55555555555554,600.2916908470003,9
persistence,7,381.572695035461,669.0283170724682,9
persistence,8,431.78490790255495,738.1224511103976,9
persistence,9,478.31541218637994,804.0031619258975,9
persistence,10,522.9423423423424,864.5140080300353,9
persistence,11,562.2657004830918,918.8259734306571,9
persistence,12,598.2720097146326,966.0094451167533,9
seasonal_naive,1,531.8896713615023,1017.8101492396729,9
seasonal_naive,2,541.4263199369583,1019.3505327211337,9
seasonal_naive,3,556.4539682539682,1024.6805632232108,9
seasonal_naive,4,572.5411670663469,1033.068622983415,9
seasonal_naive,5,589.768115942029,1042.5552672475756,9
seasonal_naive,6,606.0129764801297,1053.1824575754229,9
seasonal_naive,7,622.75,1065.3680489684757,9
seasonal_naive,8,639.1818930041153,1079.3059284947215,9
seasonal_naive,9,655.5796019900497,1096.5902633972676,9
seasonal_naive,10,672.7326649958229,1116.879016920622,9
seasonal_naive,11,693.4351851851851,1139.865181917743,9
seasonal_naive,12,715.5945716709076,1163.1101705378612,9
