geo_id,covariate,lag_weeks,n_obs,pearson_corr,spearman_corr
BAR,dewpoint,8,184,0.4608350810615903,0.6754069200392975
BAR,gust10,12,183,0.3377767820895396,0.34699902470868366
BAR,humidity,6,184,0.43405381932936304,0.6251803509209326
BAR,rain,9,184,0.3040609168245457,0.5625440460584665
BAR,soil_moist_0_7cm,6,184,0.48794147953702866,0.6115459063050221
BAR,tmean,12,183,0.38612733898451035,0.5255624996971422
BAR,wind10,12,183,0.2881152580644667,0.21731337172390333
BAR,wind100,12,183,0.268103902991918,0.2120044418570991
BAR,winddir10,9,184,-0.31467102506204725,-0.40414260137548763
CHA,dewpoint,8,184,0.5046554920726671,0.7928521832002776
CHA,gust10,12,183,0.4407500826504897,0.5287083990304714
CHA,humidity,7,184,0.4643635427071293,0.6858776091428531
CHA,rain,9,184,0.3971090928272049,0.7012957450929597
CHA,soil_moist_0_7cm,7,184,0.5441463792175808,0.6830301170814241
CHA,tmean,12,183,0.43774788784630686,0.6915924048412457
CHA,wind10,12,183,0.40736131799187414,0.41376612831862464
CHA,wind100,12,183,0.3497839530529656,0.30311659196011426
CHA,winddir10,8,184,-0.35305241462986553,-0.549040010255808
DHA_DIV,dewpoint,8,184,0.5461067162555439,0.8377576576395555
DHA_DIV,gust10,12,183,0.44863194068353635,0.6584292799875837
DHA_DIV,humidity,5,184,0.4393387560146667,0.5902182530761008
DHA_DIV,rain,8,184,0.42516074345347804,0.7042884523162981
DHA_DIV,soil_moist_0_7cm,7,184,0.504528925590032,0.6886775189102944
DHA_DIV,tmean,12,183,0.45894252838006094,0.7457090282306333
DHA_DIV,wind10,12,183,0.41883492263239125,0.54905545027127
DHA_DIV,wind100,12,183,0.3716572186247949,0.4551218255019285
DHA_DIV,winddir10,9,184,-0.3959869423088899,-0.6191981777561283
DHA_METRO,dewpoint,8,184,0.5513561656416166,0.8366034607149113
DHA_METRO,gust10,12,183,0.43367474498420255,0.6276387377781928
DHA_METRO,humidity,6,184,0.4127376619745991,0.5762361353826644
DHA_METRO,rain,8,184,0.38797250623380924,0.7083803213625126
DHA_METRO,soil_moist_0_7cm,7,184,0.4504463908587767,0.6083216305543296
DHA_METRO,tmean,10,184,0.4630694532404722,0.739236432093995
DHA_METRO,wind10,12,183,0.45364907690829176,0.5785045319333993
DHA_METRO,wind100,12,183,0.39397714445984716,0.46292366328134216
DHA_METRO,winddir10,9,184,-0.4124048860012209,-0.6371860084549935
KHU,dewpoint,10,184,0.46316437854119324,0.7683012444902986
KHU,gust10,12,183,0.36291537937320295,0.5283807263386903
KHU,humidity,7,184,0.4334842124781071,0.5882199414168864
KHU,rain,11,184,0.4066768342980526,0.639488227637446
KHU,soil_moist_0_7cm,7,184,0.5036588067296985,0.6421764711817912
KHU,tmean,12,183,0.35921654095583205,0.6597254576628201
KHU,wind10,12,183,0.3271928995474691,0.41976868039795273
KHU,wind100,12,183,0.29298964700998803,0.3704836379358869
KHU,winddir10,12,183,-0.32723321920306986,-0.5114015746744802
MYM,dewpoint,8,184,0.5096500507674064,0.7766118908661108
MYM,gust10,12,183,0.4028683447545236,0.5763324670199431
MYM,humidity,7,184,0.33897430568960846,0.47437899208793616
MYM,rain,10,184,0.32755638177329355,0.6281544561319334
MYM,soil_moist_0_7cm,7,184,0.4381589542022733,0.5603399682372444
MYM,tmean,10,184,0.44894562086517537,0.723127208206648
MYM,wind10,12,183,0.3621147205349922,0.46408603932618275
MYM,wind100,12,183,0.30843178353553097,0.37289601837117364
MYM,winddir10,12,183,-0.36972129629288797,-0.6004282386946652
RAJ,dewpoint,10,184,0.4823746341851785,0.6924630531981949
RAJ,gust10,12,183,0.37321937108851844,0.46339006677091793
RAJ,humidity,7,184,0.3650320054935824,0.5364881819572451
RAJ,rain,11,184,0.3538297599169966,0.5696702189834796
RAJ,soil_moist_0_7cm,7,184,0.4584502813052284,0.5788468672227134
RAJ,tmean,12,183,0.40280090229310817,0.6428275842160855
RAJ,wind10,12,183,0.3273590880020177,0.3561372319097116
RAJ,wind100,12,183,0.2731751526725431,0.2777318073061869
RAJ,winddir10,12,183,-0.33102859279549746,-0.500397164545705
RAN,dewpoint,8,184,0.45145530006257895,0.702912549378664
RAN,gust10,12,183,0.28989800391527526,0.45140905725503494
RAN,humidity,7,184,0.2964325187333112,0.4386903149265161
RAN,rain,11,184,0.2911220937614741,0.5647837340881405
RAN,soil_moist_0_7cm,8,184,0.3771433821790803,0.4980135987995404
RAN,tmean,10,184,0.388383457355809,0.6739998907483564
RAN,wind10,12,183,0.23026456110718452,0.33732063374451543
RAN,wind100,0,184,-0.14675501344051947,-0.2810487957166637
RAN,winddir10,9,184,-0.24176823226155786,-0.3908310153449062
SYL,dewpoint,9,184,0.36459195509493586,0.60534301733244
SYL,gust10,12,183,0.22427446082199018,0.40685644545871663
SYL,humidity,7,184,0.2854154718480103,0.3804203711012165
SYL,rain,12,183,0.17970463850798274,0.477050243669097
SYL,soil_moist_0_7cm,12,183,0.2379991603800247,0.4388637755852334
SYL,tmean,10,184,0.3485456992871758,0.6001699052446288
SYL,wind10,0,184,-0.027246444925441683,-0.3247131138978014
SYL,wind100,0,184,-0.044088434578143626,-0.3202714553470383
SYL,winddir10,12,183,-0.11041333232045583,-0.29151262034216313
