model,fold,MAE,RMSE
ensemble,F1,27.09025548444727,75.05196403128926
ensemble,F2,3.919813247515814,10.82732285555658
ensemble,F3,1.8318533546401885,7.239325325629692
ensemble,F4,153.59251320973624,244.15297647009209
ensemble,F5,46.54665769249272,92.54754184587756
gbm,F1,332.09006469233725,561.3185873277517
gbm,F2,35.55273897732574,71.8276133514837
gbm,F3,98.79302486408945,227.78295098077567
gbm,F4,1089.1163600161008,1973.6635727221185
gbm,F5,413.240666200796,711.0904581956199
glm,F1,27.09025548444727,75.43846939752694
glm,F2,3.91188531737383,10.901238632925208
glm,F3,1.8318533546401887,7.441939230477575
glm,F4,153.59251320973624,244.7784688117607
glm,F5,46.54665769249271,92.59315933389531
sarima,F1,653.5492662473795,1673.3400617519892
sarima,F2,45.47008547008547,139.39536712555542
sarima,F3,175.97605056980058,556.864800552338
sarima,F4,1381.2777777777778,2466.400944627236
sarima,F5,1228.946502057613,2333.9857218488373
