model,horizon,MAE,RMSE
ensemble,1.0,49.76641868365509,91.52751892504858
ensemble,2.0,49.6252797560457,91.35949944142462
ensemble,3.0,49.44452077163862,92.81127105324585
ensemble,4.0,48.24132883611385,88.87515406749345
ensemble,5.0,47.363909649635964,85.80292601653413
ensemble,6.0,46.166124804813165,84.09716913259885
ensemble,7.0,46.370296718433266,85.66513065273156
ensemble,8.0,45.353546050983155,83.59846960649107
ensemble,9.0,45.13371431599443,83.51255557532548
ensemble,10.0,44.279013316899196,81.55375967324862
ensemble,11.0,43.758671195984974,80.04861844988753
ensemble,12.0,43.651799072999964,82.71384067423865
gbm,1.0,221.1818958209461,478.4207087887556
gbm,2.0,255.02570910122768,513.67861958146
gbm,3.0,279.90228877842526,557.07960372103
gbm,4.0,322.3819586707013,627.3686017495546
gbm,5.0,352.6492295833443,655.9945478098582
gbm,6.0,384.3121246584713,696.5110230390385
gbm,7.0,425.78891530081427,739.2877370637691
gbm,8.0,445.02099231547265,764.5151986183344
gbm,9.0,471.06835337029423,783.8286589034625
gbm,10.0,494.79622987476057,812.1163015834649
gbm,11.0,512.9500059934269,826.9688844467344
gbm,12.0,560.0251479336732,857.2450038700044
glm,1.0,49.76641868365509,91.52751892504858
glm,2.0,49.626417043406995,91.35964326957883
glm,3.0,49.429185948212634,92.84092380568578
glm,4.0,48.24132883611385,88.87515406749345
glm,5.0,47.35268010351003,85.82949436051277
glm,6.0,46.17252485466302,84.10138273142293
glm,7.0,46.370296718433266,85.66513065273156
glm,8.0,45.353546050983155,83.59846960649107
glm,9.0,45.13371431599443,83.51255557532548
glm,10.0,44.279013316899196,81.55375967324862
glm,11.0,43.758671195984974,80.04861844988753
glm,12.0,43.651799072999964,82.71384067423865
sarima,1.0,674.1591963960412,1365.902358640657
sarima,2.0,676.1786408404857,1369.0096061127424
sarima,3.0,679.0600510968959,1374.9433878857076
sarima,4.0,682.9799228917677,1384.7784254807734
sarima,5.0,688.0094100712549,1398.793334624125
sarima,6.0,693.9837690456139,1415.9109775192992
sarima,7.0,700.4662476780925,1434.4082511164968
sarima,8.0,706.8910340028789,1452.3996527713466
sarima,9.0,712.1735126353575,1466.3703917382027
sarima,10.0,715.8211622080071,1475.8888790416215
sarima,11.0,717.6083416951866,1481.0941752445592
sarima,12.0,717.1959485327934,1481.1027748214474
