horizon,fold_id,mode,MAE,RMSE
1,F1,exoglite,340.96472512046427,603.9435931042198
1,F2,exoglite,50.802119746883825,117.13466434388195
1,F3,exoglite,52.56363886113509,202.27634870713854
1,F4,exoglite,10573889.37967513,98904239.98726657
1,F5,exoglite,482.0464498036429,689.3418146122989
2,F1,exoglite,408.2689982927461,727.9737423047804
2,F2,exoglite,52.826533208454556,117.55220544157073
2,F3,exoglite,56.57863481519127,217.15026062910235
2,F4,exoglite,40076679.63945348,452915237.92200965
2,F5,exoglite,552.6505833598902,776.7700293455196
3,F1,exoglite,478.122389875192,882.0112968414719
3,F2,exoglite,51.64368873266104,119.34331175919881
3,F3,exoglite,66.91703975213976,237.30487896681086
3,F4,exoglite,520168973.71597755,5970080879.0565815
3,F5,exoglite,644.2937487214077,888.4064939290157
4,F1,exoglite,534.628253090535,1017.1611548249508
4,F2,exoglite,52.78144756753042,118.9183466533127
4,F3,exoglite,60.03971188388578,233.7748430236993
4,F4,exoglite,9121824998.389732,116808251677.56693
4,F5,exoglite,777.0616401273747,1073.1394508644785
5,F1,exoglite,582.8881556596147,1145.5597317232882
5,F2,exoglite,54.29505107912854,123.81417836210363
5,F3,exoglite,58.25284928216005,233.2695556267718
5,F4,exoglite,170960660792.5885,2493011601271.2227
5,F5,exoglite,909.9504946927466,1306.2127816091759
6,F1,exoglite,641.3390157270284,1308.1976024886546
6,F2,exoglite,53.84651958179055,128.00993172624206
6,F3,exoglite,58.15297640274692,232.48401515054968
6,F4,exoglite,1439439768431.7573,21398063888718.77
6,F5,exoglite,1050.7469172798428,1582.8421892178717
7,F1,exoglite,707.7039447377553,1466.510412304424
7,F2,exoglite,52.76738752308945,119.8638342419199
7,F3,exoglite,58.05302958022422,233.8776878130962
7,F4,exoglite,555577917246.5759,7750531584346.826
7,F5,exoglite,1210.636651927826,1869.896851767889
8,F1,exoglite,764.2104990734847,1596.2993909076797
8,F2,exoglite,50.916680236063485,115.10527551714497
8,F3,exoglite,84.48799736790602,407.8025605775843
8,F4,exoglite,59730080483.2823,754162353879.777
8,F5,exoglite,1315.1617166800775,1988.10194496954
9,F1,exoglite,800.2233039035596,1695.0098844238007
9,F2,exoglite,50.49675916512282,113.89488555541072
9,F3,exoglite,166254307.8984891,2442330019.312173
9,F4,exoglite,9537681159.661104,102575113071.23645
9,F5,exoglite,1412.7613338398073,2137.4000026406743
10,F1,exoglite,807.7837183499978,1711.296361143082
10,F2,exoglite,52.39681794762491,115.00807367938005
10,F3,exoglite,2857283707546110.5,4.281393561917731e+16
10,F4,exoglite,868857755.4199443,10501861066.316582
10,F5,exoglite,1466.493056581643,2216.4925001764855
11,F1,exoglite,798.3091203075143,1653.5478343002972
11,F2,exoglite,50.58031067655407,109.31956814370012
11,F3,exoglite,2.6452714177923696e+17,2.2424563332277821e+18
11,F4,exoglite,131558175.7716761,1272074683.3191373
11,F5,exoglite,1473.9797521128428,2173.91158512402
12,F1,exoglite,779.8241731041329,1586.201013383018
12,F2,exoglite,50.41003480171389,107.42251950506089
12,F3,exoglite,1.7431204889481553e+21,2.665362654049422e+22
12,F4,exoglite,58738192.62081248,570354087.2047421
12,F5,exoglite,1459.878342771504,2124.8664864901752
