track,fold_id,model,role,n_groups,MAE_macro,RMSE_macro,bias_macro
experimental,F1,persistence,val,72,284.21829140461216,447.1059918134263,-38.31996855345912
experimental,F2,ar_tweedie_global,val,72,33.0311499546946,55.90063765697626,10.659867135886008
experimental,F3,seasonal_naive_52,val,72,39.89843964765598,76.34985001219829,39.85427673461729
experimental,F4,seasonal_naive_52,val,72,1101.2649572649573,1358.4616405029929,1076.7948717948718
experimental,F5,persistence,val,72,342.099279835391,425.8751701893406,133.34207818930042
operational,F1,panel_hist_gbm,val,36,69.66074239800396,114.2586000313978,-11.131231920539804
operational,F2,panel_hist_gbm,val,36,19.382192695446623,38.764449592905,0.536853250889838
operational,F3,persistence,val,36,24.84038631859284,50.97244658027863,15.732386194723151
operational,F4,residual_hist_gbm,val,36,459.0679385969353,552.7470322648485,-56.25935014631554
operational,F5,panel_hist_gbm,val,36,119.00053894242052,159.20583592079743,-12.145753846207413
